k,supporting_document_recall,complete_evidence_rate,exact_match,token_f1
0,,,0.240,0.326
1,0.430,0.000,0.200,0.276
3,0.715,0.450,0.210,0.309
5,0.825,0.650,0.330,0.452
10,1.000,1.000,0.390,0.559
